Year,Income_Dif,Industry
2020,11891 ,Publishing
2020,1142 ,Television and Music Production
2020,1304 ,Radio and Television 
2020,2056 ,Advertising and Marketing
2020,17791 ,Design
2020,3688 ,Art and Performance
2020,19480 ,Sports and Leisure Entertainment
