Year,Number,Percentage,Gender,Industry
2020,19024,0.54,Male,Publishing
2020,16208,0.46,Female,Publishing
2020,20752,0.59,Male,Media Entertainment
2020,14618,0.41,Female,Media Entertainment
2020,12426,0.32,Male,Advertsing and Marketing
2020,25926,0.68,Female,Advertsing and Marketing
2020,23769,0.84,Male,Design
2020,4599,0.16,Female,Design
2020,5346,0.49,Male,Creative Arts
2020,5481,0.51,Female,Creative Arts
